id,market_id,contract_id,user_id,odd,value,type
1,115137450,1222345,566,2.46,3.92,BACK
2,115137450,1222345,264,2.46,3.92,LAY
3,115137450,1222345,224,2.46,3.92,BACK
4,115137450,1222345,284,2.46,3.92,LAY
5,115137450,1222345,293,2.46,3.92,BACK
6,115137450,1222345,528,2.46,3.92,LAY
7,115137450,1222345,54,2.46,3.92,BACK
8,115137450,1222345,262,2.46,3.92,LAY
9,115137450,1222345,566,2.46,3.92,BACK
10,115137450,1222345,50,2.46,3.92,LAY
11,115137450,1222345,331,2.46,3.92,BACK
12,115137450,1222345,44,2.46,3.92,LAY
13,115137450,1222345,711,2.46,3.92,BACK
14,115137450,1222345,769,2.46,3.92,LAY
15,115137450,1222345,839,2.46,3.92,BACK
16,115137450,1222345,407,2.46,3.92,LAY
17,115137450,1222345,218,2.46,3.92,BACK
18,115137450,1222345,176,2.46,3.92,LAY
19,115137450,1222345,630,2.46,3.92,BACK
20,115137450,1222345,263,2.46,3.92,LAY
21,115137450,1222345,511,2.46,3.92,BACK
22,115137450,1222345,451,2.46,3.92,LAY
23,115228111,7611327,693,1.01,49.4665306122449,BACK
24,115228111,7611327,733,1.01,49.4665306122449,LAY
25,115228111,7611327,60,1.01,49.4665306122449,BACK
26,115228111,7611327,527,1.01,49.4665306122449,LAY
27,115228111,7611327,485,1.01,49.4665306122449,BACK
28,115228111,7611327,719,1.01,49.4665306122449,LAY
29,115228111,7611327,858,1.01,49.4665306122449,BACK
30,115228111,7611327,625,1.01,49.4665306122449,LAY
31,115228111,7611327,32,1.01,49.4665306122449,BACK
32,115228111,7611327,36,1.01,49.4665306122449,LAY
33,115228111,7611327,36,1.01,49.4665306122449,BACK
34,115228111,7611327,365,1.01,49.4665306122449,LAY
35,115228111,7611327,300,1.01,49.4665306122449,BACK
36,115228111,7611327,218,1.01,49.4665306122449,LAY
37,115228111,7611327,821,1.01,49.4665306122449,BACK
38,115228111,7611327,269,1.01,49.4665306122449,LAY
39,115228111,7611327,796,1.01,49.4665306122449,BACK
40,115228111,7611327,304,1.01,49.4665306122449,LAY
41,115228111,7611327,369,1.01,49.4665306122449,BACK
42,115228111,7611327,784,1.01,49.4665306122449,LAY
43,115228111,7611327,408,1.01,49.4665306122449,BACK
44,115228111,7611327,661,1.01,49.4665306122449,LAY
45,115228111,7611327,486,1.01,49.4665306122449,BACK
46,115228111,7611327,870,1.01,49.4665306122449,LAY
