id,back_bet_id,lay_bet_id,odd,value
1,1,2,2.46,7.84
2,3,4,2.46,7.84
3,5,6,2.46,7.84
4,7,8,2.46,7.84
5,9,10,2.46,7.84
6,11,12,2.46,7.84
7,13,14,2.46,7.84
8,15,16,2.46,7.84
9,17,18,2.46,7.84
10,19,20,2.46,7.84
11,21,22,2.46,7.84
12,23,24,1.01,98.9330612244898
13,25,26,1.01,98.9330612244898
14,27,28,1.01,98.9330612244898
15,29,30,1.01,98.9330612244898
16,31,32,1.01,98.9330612244898
17,33,34,1.01,98.9330612244898
18,35,36,1.01,98.9330612244898
19,37,38,1.01,98.9330612244898
20,39,40,1.01,98.9330612244898
21,41,42,1.01,98.9330612244898
22,43,44,1.01,98.9330612244898
23,45,46,1.01,98.9330612244898
24,47,48,1.01,98.9330612244898
25,49,50,1.01,98.9330612244898
26,51,52,1.01,98.9330612244898
27,53,54,1.01,98.9330612244898
28,55,56,1.01,98.9330612244898
29,57,58,1.01,98.9330612244898
30,59,60,1.01,98.9330612244898
31,61,62,1.01,98.9330612244898
32,63,64,1.01,98.9330612244898
33,65,66,1.01,98.9330612244898
34,67,68,1.01,98.9330612244898
35,69,70,1.01,98.9330612244898
36,71,72,1.01,98.9330612244898
37,73,74,1.01,98.9330612244898
38,75,76,1.01,98.9330612244898
39,77,78,1.01,98.9330612244898
40,79,80,1.01,98.9330612244898
41,81,82,1.01,98.9330612244898
42,83,84,1.01,98.9330612244898
43,85,86,1.01,98.9330612244898
44,87,88,1.01,98.9330612244898
45,89,90,1.01,98.9330612244898
46,91,92,1.01,98.9330612244898
47,93,94,1.01,98.9330612244898
48,95,96,1.01,98.9330612244898
49,97,98,1.01,98.9330612244898
50,99,100,1.01,98.9330612244898
51,101,102,1.01,98.9330612244898
52,103,104,1.01,98.9330612244898
53,105,106,1.01,98.9330612244898
54,107,108,1.01,98.9330612244898
55,109,110,1.01,98.9330612244898
56,111,112,1.01,98.9330612244898
57,113,114,1.01,98.9330612244898
58,115,116,1.01,98.9330612244898
59,117,118,1.01,98.9330612244898
60,119,120,1.01,98.9330612244898
61,121,122,1.63,6.959999999999999
62,123,124,1.63,6.959999999999999
63,125,126,1.63,6.959999999999999
64,127,128,1.63,6.959999999999999
65,129,130,1.63,6.959999999999999
66,131,132,5.8,7.54
67,133,134,5.8,7.54
68,135,136,5.8,7.54
69,137,138,5.8,7.54
70,139,140,5.8,7.54
71,141,142,5.8,7.54
72,143,144,5.8,7.54
73,145,146,5.8,7.54
74,147,148,110.0,1.9991489361702126
75,149,150,110.0,1.9991489361702126
76,151,152,110.0,1.9991489361702126
77,153,154,110.0,1.9991489361702126
78,155,156,110.0,1.9991489361702126
79,157,158,110.0,1.9991489361702126
80,159,160,110.0,1.9991489361702126
81,161,162,110.0,1.9991489361702126
82,163,164,110.0,1.9991489361702126
83,165,166,110.0,1.9991489361702126
84,167,168,110.0,1.9991489361702126
85,169,170,110.0,1.9991489361702126
86,171,172,110.0,1.9991489361702126
87,173,174,110.0,1.9991489361702126
88,175,176,110.0,1.9991489361702126
89,177,178,110.0,1.9991489361702126
90,179,180,110.0,1.9991489361702126
91,181,182,110.0,1.9991489361702126
92,183,184,110.0,1.9991489361702126
93,185,186,110.0,1.9991489361702126
94,187,188,110.0,1.9991489361702126
95,189,190,110.0,1.9991489361702126
96,191,192,110.0,1.9991489361702126
97,193,194,110.0,1.9991489361702126
98,195,196,110.0,1.9991489361702126
99,197,198,110.0,1.9991489361702126
100,199,200,110.0,1.9991489361702126
101,201,202,110.0,1.9991489361702126
102,203,204,110.0,1.9991489361702126
103,205,206,110.0,1.9991489361702126
104,207,208,110.0,1.9991489361702126
105,209,210,110.0,1.9991489361702126
106,211,212,110.0,1.9991489361702126
107,213,214,110.0,1.9991489361702126
108,215,216,110.0,1.9991489361702126
109,217,218,110.0,1.9991489361702126
110,219,220,110.0,1.9991489361702126
111,221,222,110.0,1.9991489361702126
112,223,224,110.0,1.9991489361702126
